,component,cui,name
93,vascular disease,S-307313003,Perforation iliac artery (disorder)
94,vascular disease,S-427356003,Eosinophilic vasculitis of skin (disorder)
95,vascular disease,S-426270006,Aneurysm of suprarenal aorta (disorder)
96,vascular disease,S-446140003,Laceration of anterior tibial artery (disorder)
97,vascular disease,S-713265001,Nontraumatic ruptured cerebral aneurysm (disorder)
98,vascular disease,S-230722002,Cerebral venous thrombosis of cortical vein (disorder)
99,vascular disease,S-43658003,Vertebral artery obstruction (disorder)
100,vascular disease,S-734880004,Ruptured aneurysm of left posterior communicating artery (disorder)
101,vascular disease,S-53330008,Livedo telangiectatica (disorder)
102,vascular disease,S-195410000,Thrombophlebitis of the femoral vein (disorder)
103,vascular disease,S-15648281000119108,Aneurysm of extracranial portion of right internal carotid artery (disorder)
104,vascular disease,S-312378004,Lower limb arterial embolus (disorder)
105,vascular disease,S-93396008,Congenital stenosis of carotid artery (disorder)
106,vascular disease,S-7014009,Mechanical purpura (disorder)
107,vascular disease,S-735767003,Laceration of intercostal blood vessel (disorder)
108,vascular disease,S-210874003,Popliteal blood vessel injury (disorder)
109,vascular disease,S-195411001,Thrombophlebitis of the popliteal vein (disorder)
110,vascular disease,S-92977007,Congenital absence of subclavian artery (disorder)
111,vascular disease,S-16006351000119106,Thrombophlebitis of vein of bilateral upper limbs (disorder)
112,vascular disease,S-40283005,Thrombophlebitis of superficial veins of lower extremity (disorder)
113,vascular disease,S-63795001,Thrombosis of intracranial venous sinus of pregnancy AND/OR puerperium (disorder)
114,vascular disease,S-15648981000119103,Aneurysm of right common iliac artery (disorder)
115,vascular disease,S-136751000119108,Chronic deep venous thrombosis of upper extremity as complication of procedure (disorder)
116,vascular disease,S-111873003,Measles without complication (disorder)
117,vascular disease,S-284881000119108,Atherosclerosis of right carotid artery (disorder)
118,vascular disease,S-64832003,Neutrophilic vasculitis of skin (disorder)
119,vascular disease,S-253515003,Ventricular septal defect in Fallot's tetralogy (disorder)
120,vascular disease,S-210866004,"Open injury, common femoral artery (disorder)"
121,vascular disease,S-91304009,Capillary fragility abnormality (disorder)
122,vascular disease,S-47040006,Disorder of aorta (disorder)
123,vascular disease,S-312592009,Head and neck arterial embolus (disorder)
124,vascular disease,S-307321009,Rupture brachial artery (disorder)
125,vascular disease,S-234028003,Cerebral steal syndrome (disorder)
126,vascular disease,S-253681005,Interrupted aortic arch distal to left subclavian artery (disorder)
127,vascular disease,S-253614008,Tubular hypoplasia of aorta (disorder)
128,vascular disease,S-724842007,Congenital venous malformation of skin (disorder)
129,vascular disease,S-210846008,Injury of superficial palmar arch (disorder)
130,vascular disease,S-210893001,"Closed injury, deep plantar artery (disorder)"
131,vascular disease,S-93353003,Congenital malposition of subclavian artery (disorder)
132,vascular disease,S-13957003,Aortocaval fistula (disorder)
133,vascular disease,S-449536002,Double aortic arch with right arch dominant and atresia of left arch and left ligament to diverticulum (disorder)
134,vascular disease,S-195318006,Embolism and thrombosis of an arm or leg artery (disorder)
135,vascular disease,S-709597002,Acute thrombosis of superficial vein of lower limb (disorder)
136,vascular disease,S-52576001,Injury of anterior tibial artery (disorder)
137,vascular disease,S-95450003,Thrombophlebitis of upper extremities (disorder)
138,vascular disease,S-238785001,Primary cutaneous vasculitis (disorder)
139,vascular disease,S-234000009,Dissection of femoral artery (disorder)
140,vascular disease,S-68504005,Ataxia-telangiectasia syndrome (disorder)
141,vascular disease,S-460959004,Anomalous origin of ligamentum arteriosum from ascending aorta (disorder)
142,vascular disease,S-50821009,Arterial retinal branch occlusion (disorder)
143,vascular disease,S-48273005,Aneurysm of popliteal artery (disorder)
144,vascular disease,S-427592000,Occlusion of superior mesenteric artery (disorder)
145,vascular disease,S-66620003,Hyaline necrosis of aorta (disorder)
146,vascular disease,S-132321000119103,Acute deep venous thrombosis of upper extremity (disorder)
147,vascular disease,S-359789008,Takayasu's disease (disorder)
148,vascular disease,S-77535002,Phlebitis of deep femoral vein (disorder)
149,vascular disease,S-234242000,Intra-aortic balloon thrombosis (disorder)
150,vascular disease,S-210801007,Celiac or mesenteric artery injury (disorder)
151,vascular disease,S-253698005,Isolation of brachiocephalic trunk (disorder)
152,vascular disease,S-192765008,Phlebitis of superior longitudinal sinus (disorder)
153,vascular disease,S-735855006,Laceration of popliteal vein (disorder)
154,vascular disease,S-703311009,Cerebral arteritis due to infectious disease (disorder)
155,vascular disease,S-195382003,Spider nevus (disorder)
156,vascular disease,S-733224007,Laceration of brachial artery (disorder)
157,vascular disease,S-93057008,Congenital dilatation of innominate artery (disorder)
158,vascular disease,S-15649041000119103,Aneurysm of left common iliac artery (disorder)
159,vascular disease,S-75878002,Abdominal aortic aneurysm without rupture (disorder)
160,vascular disease,S-233978009,Popliteal entrapment syndrome (disorder)
161,vascular disease,S-68478007,Central retinal vein occlusion (disorder)
162,vascular disease,S-845006,Injury of inferior mesenteric artery (disorder)
163,vascular disease,S-63168004,Peripheral congenital arteriovenous aneurysm (disorder)
164,vascular disease,S-15978631000119109,Occlusion of bilateral vertebral arteries (disorder)
165,vascular disease,S-461376004,Congenital hypoplasia of thoracoabdominal aorta (disorder)
166,vascular disease,S-314186008,Inflammatory abdominal aortic aneurysm (disorder)
167,vascular disease,S-40136003,Aneurysm of subclavian artery (disorder)
168,vascular disease,S-81817003,Atherosclerosis of aorta (disorder)
169,vascular disease,S-312375001,Upper limb arterial embolus (disorder)
170,vascular disease,S-449027007,Distal origin of brachiocephalic artery with tracheal compression (disorder)
171,vascular disease,S-444744001,Hypothenar hammer syndrome (disorder)
172,vascular disease,S-233965009,Stenosis of thoracic aorta (disorder)
173,vascular disease,S-16014511000119107,Thrombophlebitis of superficial vein of right lower limb (disorder)
174,vascular disease,S-275446004,Gardner-Diamond syndrome (disorder)
175,vascular disease,S-448099009,Aneurysm of aortic sinus of Valsalva with protrusion into right atrium (disorder)
176,vascular disease,S-7505006,Injury of multiple blood vessels of lower extremity (disorder)
177,vascular disease,S-461614001,Acquired luminal obstruction of aortic arch distal to subclavian artery (disorder)
178,vascular disease,S-21379009,Ruptured sinus of Valsalva (disorder)
179,vascular disease,S-14309005,Anterior choroidal artery syndrome (disorder)
180,vascular disease,S-87937009,Endophlebitis of intracranial venous sinus (disorder)
181,vascular disease,S-403189002,Erythrocyanosis with nodules (disorder)
182,vascular disease,S-50751005,Sinus pericranii (disorder)
183,vascular disease,S-8370004,Aneurysm of spinal artery (disorder)
184,vascular disease,S-66829004,Injury of splenic artery (disorder)
185,vascular disease,S-767127000,Unilateral nevoid telangiectasia (disorder)
186,vascular disease,S-210888004,"Closed injury, posterior tibial artery (disorder)"
187,vascular disease,S-232042005,Central retinal vein occlusion - juvenile with macular edema (disorder)
188,vascular disease,S-427602004,Ruptured aneurysm of common iliac artery (disorder)
189,vascular disease,S-770112002,Phlebitis of dorsal venous arch of foot (disorder)
190,vascular disease,S-312826009,External iliac artery occlusion (disorder)
191,vascular disease,S-1351002,Injury of iliac artery (disorder)
192,vascular disease,S-677781000119104,Occlusion of left branch retinal artery (disorder)
193,vascular disease,S-361131008,Isolated primary Raynaud's phenomenon (disorder)
194,vascular disease,S-15710641000119100,Dissecting hemorrhage of bilateral vertebral arteries (disorder)
195,vascular disease,S-238765000,Progressive ascending arborizing telangiectasia (disorder)
196,vascular disease,S-699706000,Embolism of middle cerebral artery (disorder)
197,vascular disease,S-715644000,Glomuvenous malformation (disorder)
198,vascular disease,S-302910002,Atherosclerotic renal artery stenosis (disorder)
199,vascular disease,S-16005471000119100,Occlusion of distal artery of left upper limb (disorder)
200,vascular disease,S-297149007,Common femoral artery thrombosis (disorder)
201,vascular disease,S-403393000,Stellate pseudoscar in senile purpura (disorder)
202,vascular disease,S-291351000119109,Spontaneous hemorrhage of subarachnoid space from basilar artery (disorder)
203,vascular disease,S-15708401000119100,Acute deep vein thrombosis of left upper limb following procedure (disorder)
204,vascular disease,S-80758005,Embolism of lateral venous sinus (disorder)
205,vascular disease,S-309735004,Thrombosis of vein of lower limb (disorder)
206,vascular disease,S-460952008,Abnormality of ligamentum arteriosum (disorder)
207,vascular disease,S-240546009,Coxsackie virus exanthem (disorder)
208,vascular disease,S-16011431000119103,Stenosis of artery of right lower limb (disorder)
209,vascular disease,S-733226009,Laceration of brachial vein (disorder)
210,vascular disease,S-399957001,Peripheral arterial occlusive disease (disorder)
211,vascular disease,S-472792009,Congenital abnormality of supraaortic branch of thoracic aorta (disorder)
212,vascular disease,S-253689007,Major aortopulmonary collateral artery (disorder)
213,vascular disease,S-277329004,Ruptured internal carotid-posterior communicating artery zone aneurysm (disorder)
214,vascular disease,S-297135003,Subclavian artery embolus (disorder)
215,vascular disease,S-234007007,Anterior spinal artery rupture (disorder)
216,vascular disease,S-735832008,Laceration of deep palmar arch (disorder)
217,vascular disease,S-20696009,Peripheral venous insufficiency (disorder)
218,vascular disease,S-307315005,Rupture femoral artery (disorder)
219,vascular disease,S-128551005,Aortic fistula (disorder)
220,vascular disease,S-445350004,Isolation of left subclavian artery (disorder)
221,vascular disease,S-472133008,Congenital tortuosity of branch of aortic arch (disorder)
222,vascular disease,S-253653004,Left aortic arch and right descending aorta (disorder)
223,vascular disease,S-132301000119107,Acute deep venous thrombosis of iliofemoral vein (disorder)
224,vascular disease,S-406592004,Measles of the central nervous system (disorder)
225,vascular disease,S-307397001,Infected femorofemoral crossover graft (disorder)
226,vascular disease,S-239945009,Hypocomplementemic urticarial vasculitis (disorder)
227,vascular disease,S-16026391000119106,Thrombosis of aorta (disorder)
228,vascular disease,S-427368007,Climacteric flushing (disorder)
229,vascular disease,S-311798009,Ruptured popliteal artery aneurysm (disorder)
230,vascular disease,S-254208002,Nevus sanguineous (disorder)
231,vascular disease,S-284811000119102,Aneurysm of extracranial portion of internal carotid artery (disorder)
232,vascular disease,S-472101004,Interruption of aortic arch distal to subclavian artery (disorder)
233,vascular disease,S-233625007,Giant cell pneumonia (disorder)
234,vascular disease,S-408664007,Pontine artery occlusion (disorder)
235,vascular disease,S-10057001,Chronic lichenoid pityriasis (disorder)
236,vascular disease,S-195339004,Embolism and thrombosis of the subclavian artery (disorder)
237,vascular disease,S-234040003,Saphenous vein thrombophlebitis (disorder)
238,vascular disease,S-15648771000119103,Atherosclerosis of bilateral renal arteries (disorder)
239,vascular disease,S-16009271000119101,Embolism of artery of right upper limb (disorder)
240,vascular disease,S-16780001000004106,Abscess of aorta (disorder)
241,vascular disease,S-78569004,Posterior inferior cerebellar artery syndrome (disorder)
242,vascular disease,S-7387004,Thrombophlebitis of tibial vein (disorder)
243,vascular disease,S-762629007,Occlusion of right middle cerebral artery by embolus (disorder)
244,vascular disease,S-234075003,Venous hypertension of lower limb (disorder)
245,vascular disease,S-461577007,Atresia of aortic arch with fibrous cord between left common carotid artery and right common carotid artery (disorder)
246,vascular disease,S-32112006,Phlebitis of inferior sagittal sinus (disorder)
247,vascular disease,S-460953003,Anomalous insertion of ligamentum arteriosum (disorder)
248,vascular disease,S-234033004,Vibration syndrome (disorder)
249,vascular disease,S-733263000,Injury of blood vessel of finger (disorder)
250,vascular disease,S-192767000,Phlebitis transverse sinus (disorder)
251,vascular disease,S-307323007,Rupture ulna artery (disorder)
252,vascular disease,S-724438002,Congenital precerebral nonruptured aneurysm (disorder)
253,vascular disease,S-443210003,Deep venous thrombosis of peroneal vein (disorder)
254,vascular disease,S-238769006,Solar telangiectasia (disorder)
255,vascular disease,S-403407006,Poikiloderma caused by photodynamic agent (disorder)
256,vascular disease,S-89980009,Thrombosis of cavernous venous sinus (disorder)
257,vascular disease,S-234240008,Intra-aortic balloon rupture (disorder)
258,vascular disease,S-446836009,Traumatic injury of mesenteric artery (disorder)
259,vascular disease,S-253641003,Localized supravalvar aortic stenosis (disorder)
260,vascular disease,S-254757003,Extracellular cholesterosis (disorder)
261,vascular disease,S-726031001,"Cerebellar ataxia, intellectual disability, optic atrophy, skin abnormalities syndrome (disorder)"
262,vascular disease,S-400047006,Peripheral vascular disease (disorder)
263,vascular disease,S-461567005,Atresia of aortic arch with fibrous cord distal to subclavian artery (disorder)
264,vascular disease,S-724428007,Asymptomatic stenosis of extracranial artery (disorder)
265,vascular disease,S-76402003,Carotid artery insufficiency syndrome (disorder)
266,vascular disease,S-210883008,Tibial blood vessel injury (disorder)
267,vascular disease,S-425453009,Chronic nontraumatic dissection of thoracic aorta (disorder)
268,vascular disease,S-128129006,Disorder of artery of neck (disorder)
269,vascular disease,S-402856005,Acute hemorrhagic edema of childhood (disorder)
270,vascular disease,S-450312003,Coarctation of aorta between subclavian artery and common carotid artery (disorder)
271,vascular disease,S-195275000,Common iliac aneurysm (disorder)
272,vascular disease,S-51536009,Injury of hypogastric artery (disorder)
273,vascular disease,S-7368005,Double outlet left ventricle (disorder)
274,vascular disease,S-195235008,Occlusion and stenosis of cerebellar arteries (disorder)
275,vascular disease,S-262943006,Transection of aorta (disorder)
276,vascular disease,S-461629004,Right aortic arch branching pattern (disorder)
277,vascular disease,S-16061002,Endophlebitis of lateral venous sinus (disorder)
278,vascular disease,S-306853001,Thrombosis of femoropopliteal bypass graft (disorder)
279,vascular disease,S-276269009,Unruptured aneurysm of anterior cerebral artery (disorder)
280,vascular disease,S-275700003,Varicose veins of the leg with eczema (disorder)
281,vascular disease,S-448303009,Vascular ring with left aortic arch to right descending aorta and right arterial ligament (disorder)
282,vascular disease,S-253660005,Double aortic arch with both patent (disorder)
283,vascular disease,S-448153005,Vascular ring with left aortic arch and right arterial duct arising from aberrant retroesophageal right subclavian artery (disorder)
284,vascular disease,S-75138007,Endophlebitis of superior sagittal sinus (disorder)
285,vascular disease,S-86191000,Retinal endarteritis (disorder)
286,vascular disease,S-200983001,Pityriasis lichenoides (disorder)
287,vascular disease,S-142111000119108,Ectasia of thoracic aorta (disorder)
288,vascular disease,S-448097006,Abnormal course of aortic arch (disorder)
289,vascular disease,S-284861000119104,Atherosclerosis of bilateral carotid arteries (disorder)
290,vascular disease,S-73067008,Ruptured aortic aneurysm (disorder)
291,vascular disease,S-12237311000119105,Aneurysm of right renal artery (disorder)
292,vascular disease,S-428507003,Atherosclerotic stenosis of brachiocephalic artery (disorder)
293,vascular disease,S-233995001,Type I dissection of thoracic aorta (disorder)
294,vascular disease,S-195323006,Embolism and thrombosis of the femoral artery (disorder)
295,vascular disease,S-93312006,Congenital malposition of carotid artery (disorder)
296,vascular disease,S-57035005,"Aneurysm of artery, other than aorta (disorder)"
297,vascular disease,S-62583006,Puerperal phlegmasia alba dolens (disorder)
298,vascular disease,S-16972009,Congenital aneurysm of aorta (disorder)
299,vascular disease,S-3827008,Aneurysm of artery of neck (disorder)
300,vascular disease,S-51274000,Atherosclerosis of arteries of the extremities (disorder)
301,vascular disease,S-95452006,Thrombophlebitis of deep veins of upper extremities (disorder)
302,vascular disease,S-439407002,Hot flash caused by medication (disorder)
303,vascular disease,S-371158002,Disorder of basilar artery (disorder)
304,vascular disease,S-724440007,Atherosclerosis of artery of lower limb (disorder)
305,vascular disease,S-195342005,Embolism and thrombosis of the celiac artery (disorder)
306,vascular disease,S-266254007,Occlusion of carotid artery (disorder)
307,vascular disease,S-312383007,Infective aortitis (disorder)
308,vascular disease,S-16018831000119106,Atherosclerosis of bilateral iliac arteries (disorder)
309,vascular disease,S-95579008,Thrombosis of renal artery (disorder)
310,vascular disease,S-253303001,Solitary aortic trunk with pulmonary atresia (disorder)
311,vascular disease,S-254206003,Congenital vascular nevus (disorder)
312,vascular disease,S-15649141000119104,Aneurysm of left internal iliac artery (disorder)
313,vascular disease,S-864191000000104,Thrombosis of internal jugular vein (disorder)
314,vascular disease,S-762633000,Occlusion of right cerebellar artery by embolus (disorder)
315,vascular disease,S-35979000,Phlebitis of femoropopliteal vein (disorder)
316,vascular disease,S-461597002,Congenital luminal atresia of aortic arch between left common carotid artery and right common carotid artery (disorder)
317,vascular disease,S-128171000119104,Spontaneous caroticocavernous sinus fistula (disorder)
318,vascular disease,S-276279006,Unruptured aneurysm of carotid artery (disorder)
319,vascular disease,S-253656007,Aortic arch centrally descending (disorder)
320,vascular disease,S-238775002,Idiopathic livedo reticularis with summer ulceration (disorder)
321,vascular disease,S-76097009,Erythema nodosum migrans (disorder)
322,vascular disease,S-461366002,Congenital hypoplasia of descending aorta (disorder)
323,vascular disease,S-26954004,Thrombophlebitis of superior sagittal sinus (disorder)
324,vascular disease,S-195276004,External iliac aneurysm (disorder)
325,vascular disease,S-86003009,Carotid artery thrombosis (disorder)
326,vascular disease,S-93392005,Congenital short growth of innominate artery (disorder)
327,vascular disease,S-448611005,Vascular ring with left aortic arch and retrotracheal right patent arterial duct (disorder)
328,vascular disease,S-186580000,Parascarlatina (disorder)
329,vascular disease,S-210896009,Injury of peroneal artery (disorder)
330,vascular disease,S-16018911000119107,Atherosclerosis of non-biological bypass graft of bilateral lower limbs (disorder)
331,vascular disease,S-448746009,Aneurysm of aortic sinus of Valsalva with rupture to right ventricle (disorder)
332,vascular disease,S-425448004,Stenosis of brachiocephalic artery (disorder)
333,vascular disease,S-1092361000119109,Rubella pneumonia (disorder)
334,vascular disease,S-460954009,Anomalous insertion of ligamentum arteriosum into distal left pulmonary artery (disorder)
335,vascular disease,S-7305005,Coarctation of aorta (disorder)
336,vascular disease,S-210899002,Injury of multiple blood vessels at lower leg level (disorder)
337,vascular disease,S-733127007,Acute occlusion of artery of upper limb caused by thrombus (disorder)
338,vascular disease,S-16012711000119107,Atheroembolism of bilateral lower limbs (disorder)
339,vascular disease,S-724856009,Occlusion of microvasculature of skin caused by platelet plug (disorder)
340,vascular disease,S-400130008,Temporal arteritis (disorder)
341,vascular disease,S-253673009,Preductal interruption of aorta (disorder)
342,vascular disease,S-472103001,Interruption of aortic arch between left common carotid artery and right common carotid artery (disorder)
343,vascular disease,S-444325005,Deep vein thrombosis of bilateral lower extremities (disorder)
344,vascular disease,S-460880006,Arteriovenous fistula of great cerebral vein of Galen (disorder)
345,vascular disease,S-210852009,"Open injury, digital vein (disorder)"
346,vascular disease,S-703161008,Occlusion of internal auditory artery (disorder)
347,vascular disease,S-721664001,Vasculitis of mesenteric artery (disorder)
348,vascular disease,S-135531000119100,Posterior tibial artery insufficiency (disorder)
349,vascular disease,S-234039000,Saphenous vein phlebitis (disorder)
350,vascular disease,S-46253008,Thrombophlebitis of lower extremities (disorder)
351,vascular disease,S-448809003,Common arterial trunk with obstruction of aortic arch (disorder)
352,vascular disease,S-16002551000119103,Pain of left upper limb co-occurrent and due to ischemia (disorder)
353,vascular disease,S-15649421000119102,Aneurysm of right femoral artery (disorder)
354,vascular disease,S-403668007,Drug-induced erythromelalgia (disorder)
355,vascular disease,S-82453008,Thrombosis of iliac artery (disorder)
356,vascular disease,S-447260005,Traumatic injury of celiac artery (disorder)
357,vascular disease,S-192685000,Subacute sclerosing panencephalitis (disorder)
358,vascular disease,S-403620001,Erythroderma caused by vancomycin (disorder)
359,vascular disease,S-8214000,Telangiectasia macularis eruptiva perstans (disorder)
360,vascular disease,S-91445000,Aneurysm of femoral artery (disorder)
361,vascular disease,S-285750004,Injury of vein of head and neck (disorder)
362,vascular disease,S-15648201000119100,Aneurysm of intracranial portion of right internal carotid artery (disorder)
363,vascular disease,S-703180005,Asymptomatic occlusion of extracranial carotid artery (disorder)
364,vascular disease,S-721413008,Minor laceration of internal jugular vein (disorder)
365,vascular disease,S-239948006,Secondary aortitis (disorder)
366,vascular disease,S-705066004,Dissection of internal carotid artery (disorder)
367,vascular disease,S-329571000119107,Occlusion of left posterior cerebral artery (disorder)
368,vascular disease,S-724436003,Congenital anomaly of abdominal aorta (disorder)
369,vascular disease,S-192769002,Thrombophlebitis of central nervous system venous sinuses (disorder)
370,vascular disease,S-428031002,False aneurysm of distal brachial artery (disorder)
371,vascular disease,S-66403007,Vascular ring of aorta (disorder)
372,vascular disease,S-448630005,Vascular ring with left aortic arch and right patent arterial duct (disorder)
373,vascular disease,S-251038002,Aortic root congenital abnormality (disorder)
374,vascular disease,S-448627003,Vascular ring with left aortic arch and right arterial duct arising from aberrant retroesophageal brachiocephalic artery (disorder)
375,vascular disease,S-233956002,Aortoiliac atherosclerosis (disorder)
376,vascular disease,S-253643000,Ascending aortic atresia (disorder)
377,vascular disease,S-210911004,"Closed injury, dorsalis pedis artery (disorder)"
378,vascular disease,S-132091000119104,Chronic deep venous thrombosis of lower limb due to coronary artery bypass grafting (disorder)
379,vascular disease,S-307401009,Infected femorodistal graft (disorder)
380,vascular disease,S-425600006,Ruptured aneurysm of internal iliac artery (disorder)
381,vascular disease,S-297136002,Axillary artery embolus (disorder)
382,vascular disease,S-71444005,Cerebral arterial thrombosis (disorder)
383,vascular disease,S-307317002,Rupture anterior tibial artery (disorder)
384,vascular disease,S-314189001,Popliteal artery occlusion (disorder)
385,vascular disease,S-24596005,Venous retinal branch occlusion (disorder)
386,vascular disease,S-425420004,Thrombosis of internal carotid artery (disorder)
387,vascular disease,S-45281005,Atherosclerosis of renal artery (disorder)
388,vascular disease,S-93054001,Congenital dilatation of carotid artery (disorder)
389,vascular disease,S-16014551000119108,Thrombophlebitis of superficial vein of left lower limb (disorder)
